TMDBID,title,releaseDate,rating,num_rating,star1,star2,star3,star4,star5,director,production,Country,budget,date,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,ScienceFiction,Thriller,War,Western,runtime,I_superhero,I_saving_world
,Dirty Grandpa,1/22/16,,,Zac Effron,Robert De Niro,Julianne Hough,Aubrey Plaza,Zoey Deutch,Dan Mazer,Lionsgate,United States,11500000,1/22/16,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0
,Jane got a gun,1/29/16,,,Natalie Portman,Joel Edgerton,Ewan McGregor,Rodrigo Santoro,Noah Emmerich,Gavin O'Connor,The Weinstein Company,United States,25000000,1/29/16,2016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,98,0,0
,"Hail, Caesar!",2/5/16,,,George Clooney,Josh Brolin,Alden Ehrenreich,Ralph Fiennes,Scarlett Johansson,Joel Coen,Universal Studios,United States,22000000,2/5/16,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0
,Misconduct,2/5/16,,,Josh Duhamel,Alice Eve,Malin Akerman,Byung-hun Lee,Julia Stiles,Shintaro Shimosawa,Lionsgate,United States,11000000,2/5/16,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,105,0,0
,Zoolander 2,2/12/16,,,Ben Stiller,Owen Wilson,Christine Taylor,Will Ferrel,Pen?lope Cruz,Ben Stiller,Paramount Pictures,United States,50000000,2/12/16,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,1
,Whiskey Tango Foxtort,3/4/16,,,Tina Fey,Margot Robbie,Martin Freeman,Billy Bob Thornton,Alfred Molina,Glenn Ficarra,Paramount Pictures,United States,35000000,3/4/16,2016,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0
,Zootopia,3/4/16,,,Ginnifer Goodwin,Jason Bateman,Idris Elba,Jenny Slate,Nate Torrence,Byron Howard,Walt Disney Pictures,United States,150000000,3/4/16,2016,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,1
,Grimsby,3/11/16,,,Louis Leterrier,Sasha Baron Cohen,Mark Strong,Isla Fisher,Rebel Wilson,Annabelle Wallis,Columbia Pictures,United States,35000000,3/11/16,2016,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,1
,The Boss,4/8/16,,,Melissa McCarthy,Kirsten Bell,Peter Dinklage,Tyler Labine,Kristen Schaal,Ben Falcone,Universal Studios,United States,29000000,4/8/16,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0
,X-Men: Apocalypse,5/27/16,,,Jennifer Lawrence,James McAvoy,Micael Fassbender,Oscar Isaac,Nicholas Hoult,Bryan Singer,20th Century Fox,United States,243000000,5/27/16,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,1,1
,Ghostbusters,7/15/16,,,Melissa McCarthy,Kirsten Wiig,Leslie Jones,Kate McKnnon,Chris Hemsworth,Paul Feig,Columbia Pictures,United States,154000000,7/15/16,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,0,1